alias_id,contact_method,time_zone,proposed_slots,confirmed_slot,calendar_invite_sent_yn,attended_yn,recorded_yn
P001,email,America/New_York,"2025-11-06 10:00|2025-11-06 14:00|2025-11-07 09:00",2025-11-06T10:00:00-05:00,yes,yes,yes
P002,email,America/Los_Angeles,"2025-11-06 15:00|2025-11-07 10:00|2025-11-07 14:00",2025-11-06T15:00:00-08:00,yes,yes,no
P003,email,America/New_York,"2025-11-07 13:00|2025-11-08 11:00|2025-11-08 15:00",2025-11-07T13:00:00-05:00,yes,yes,yes
P004,email,America/Chicago,"2025-11-08 14:00|2025-11-09 10:00|2025-11-09 16:00",2025-11-08T14:00:00-06:00,yes,yes,yes
P005,email,America/New_York,"2025-11-09 09:00|2025-11-09 15:00|2025-11-10 10:00",2025-11-09T09:00:00-05:00,yes,yes,yes
P006,email,America/Denver,"2025-11-10 11:00|2025-11-10 16:00|2025-11-11 09:00",2025-11-10T11:00:00-07:00,yes,yes,no
P007,email,America/New_York,"2025-11-10 10:00|2025-11-11 14:00|2025-11-11 16:00",2025-11-10T10:00:00-05:00,yes,yes,yes
P008,email,America/Los_Angeles,"2025-11-11 09:00|2025-11-11 13:00|2025-11-11 15:00",2025-11-11T09:00:00-08:00,yes,yes,yes
P009,email,America/Chicago,"2025-11-11 15:00|2025-11-12 10:00|2025-11-12 14:00",2025-11-11T15:00:00-06:00,yes,yes,yes
P010,email,America/New_York,"2025-11-11 10:00|2025-11-12 09:00|2025-11-12 13:00",2025-11-11T10:00:00-05:00,yes,yes,no
