respondent_id,timestamp,role,windows_primary,notes_per_week,tools_used,pain_severity_1to10,privacy_importance_1to10,interest_beta_yn,email,opted_in_yn,attention_check_pass_yn,qualified_yn,segment_quota_bucket
R001,2025-11-01T14:23:00Z,Research Analyst,yes,daily,3,8,9,yes,[REDACTED],yes,yes,yes,Rachel
R002,2025-11-01T15:47:00Z,Freelance Writer,yes,daily,4,7,8,yes,[REDACTED],yes,yes,yes,Finn
R003,2025-11-01T16:12:00Z,Graduate Student,yes,daily,2,9,7,yes,[REDACTED],yes,yes,yes,Gia
R004,2025-11-01T17:35:00Z,Management Consultant,yes,daily,3,9,10,yes,[REDACTED],yes,yes,yes,Rachel
R005,2025-11-01T18:20:00Z,Product Manager,yes,weekly,3,6,6,yes,[REDACTED],yes,yes,yes,Other
R006,2025-11-01T19:05:00Z,Content Creator,yes,daily,4,8,7,yes,[REDACTED],yes,yes,yes,Finn
R007,2025-11-01T20:30:00Z,Business Analyst,yes,daily,2,8,8,yes,[REDACTED],yes,yes,yes,Rachel
R008,2025-11-02T09:15:00Z,PhD Student,yes,daily,3,7,8,yes,[REDACTED],yes,yes,yes,Gia
R009,2025-11-02T10:40:00Z,Freelance Designer,yes,daily,3,7,7,yes,[REDACTED],yes,yes,yes,Finn
R010,2025-11-02T11:25:00Z,Software Engineer,yes,weekly,2,6,5,yes,[REDACTED],yes,yes,yes,Other
